abbreviation,Formula,Description,Compartment,Charge,bigg_name,ModelSEED,New_ID,Comments,,,,
rl5p_c,C5H9O8P,D-Ribulose5-phosphate,c,-2,ru5p__D,,,,,,,
arahe6p_c,C6H11O9P,D-arabino-3-Hexulose6-phosphate,c,-2,ah6p__D,,,,,,,
xul5p_c,C5H9O8P,D-Xylulose5-phosphate,c,-2,xu5p__D,,,,,,,
s7p_c,C7H13O10P,Sedoheptulose7-phosphate,c,-2,s7p,,,,,,,
r5p_c,C5H9O8P,D-Ribose5-phosphate,c,-2,r5p,,,,,,,
drib_c,C5H10O4,Deoxyribose,c,0,5drib,,,,,,,
dr5p_c,C5H9O7P,2-Deoxy-D-ribose5-phosphate,c,-2,2dr5p,,,,,,,
r1p_c,C5H9O8P,D-Ribose1-phosphate,c,-2,r1p,,,,,,,
rib_c,C5H10O5,D-Ribose,c,0,rib__D,,,,,,,
dr1p_c,C5H9O7P,2-Deoxy-D-ribose1-phosphate,c,-2,2dr1p,,,,,,,
glcn15lac_c,C6H10O6,"D-Glucono-1,5-lactone",c,0,dgo15lac,,,,,,,
glcnt_c,C6H11O7,D-Gluconicacid,c,-1,glcn,,,,,,,
kdg_c,C6H9O6,2-Dehydro-3-deoxy-D-gluconate,c,-1,2ddglcn,,,,,,,
kdpg_c,C6H8O9P,2-Dehydro-3-deoxy-6-phospho-D-gluconate,c,-3,2ddg6p,,,,,,,
galunt_c,C6H9O7,D-Galacturonate,c,-1,galur,,,,,,,
tagur_c,C6H9O7,D-Tagaturonate,c,-1,tagur,,,,,,,
glcunt_c,C6H9O7,D-Glucuronate,c,-1,glcur,,,,,,,
frutn_c,C6H9O7,D-Fructuronate,c,-1,fruur,,,,,,,
altrn_c,C6H11O7,D-Altronate,c,-1,altrn,,,,,,,
utp_c,C9H11N2O15P3,UTP,c,-4,utp,,,,,,,
udpg_c,C15H22N2O17P2,UDP-glucose,c,-2,udpg,,,,,,,
udpgte_c,C15H19N2O18P2,UDP-glucuronate,c,-3,udpglcur,,,,,,,
xul_c,C5H10O5,D-xylulose,c,0,xylu__D,,,,,,,
xyl_c,C5H10O5,D-Xylose,c,0,xyl__D,,,,,,,
lrl5p_c,C5H9O8P,L-Ribulose5-phosphate,c,-2,ru5p__L,,,,,,,
larab_c,C5H10O5,L-Arabinose,c,0,arab__L,,,,,,,
lrl_c,C5H10O5,L-Ribulose,c,0,rbl__L,,,,,,,
manoe_c,C6H11O7,D-Mannonate,c,-1,mana,,,,,,,
mnt1p_c,C6H13O9P,D-Mannitol1-phosphate,c,-2,mnl1p,,,,,,,
man6p_c,C6H11O9P,D-Mannose6-phosphate,c,-2,man6p,,,,,,,
man1p_c,C6H11O9P,D-Mannose1-phosphate,c,-2,man1p,,,,,,,
gtp_c,C10H12N5O14P3,GTP,c,-3,gtp,,,,,,,
gdpman_c,C16H23N5O16P2,GDP-mannose,c,-2,gdpmann,,,,,,,
f1p_c,C6H11O9P,D-Fructose1-phosphate,c,-2,f1p,,,,,,,
glyal_c,C3H6O3,D-Glyceraldehyde,c,0,glyald,,,,,,,
xol_c,C5H12O5,Xylitol,c,0,xylt,,,,,,,
fru_c,C6H12O6,D-Fructose,c,0,fru,,,,,,,
c00984_c,C6H12O6,alpha-D-Galactose ,c,0,a_gal__D,,,,,,,
gal1p_c,C6H11O9P,alpha-D-Galactose1-phosphate,c,-1,gal1p,,,,,,,
udpgal_c,C15H22N2O17P2,UDP-D-galactose,c,-2,udpgal,,,,,,,
meli_c,C12H22O11,Melibiose,c,0,melib,,,,,,,
gal_c,C6H12O6,D-Galactose,c,0,gal,,,,,,,
matr_c,C18H32O16,Manninotriose,c,0,mnt,,,,,,,
stac_c,C24H42O21,Stachyose,c,0,stys,,,,,,,
raf_c,C18H32O16,Raffinose,c,0,raffin,,,,,,,
suc_c,C12H22O11,Sucrose,c,0,sucr,,,,,,,
suc6p_c,C12H21O14P,Sucrose6-phosphate,c,-2,suc6p,,,,,,,
melt_c,C12H24O11,Melibiitol,c,0,melt,,,,,,,
sot_c,C6H14O6,D-Sorbitol,c,0,sbt__D,,,,,,,
epibio_c,C12H22O11,Epimelibiose,c,0,epm,,,,,,,
man_c,C6H12O6,D-Mannose,c,0,man,,,,,,,
dgalgly_c,C9H18O8,3-beta-D-Galactosyl-sn-glycerol,c,0,HC01444,,,,,,,
gl_c,C3H8O3,Glycerol,c,0,glyc,,,,,,,
galol_c,C12H22O11,alpha-D-galactosyl-(1->3)-1D-myo-inositol,c,0,1Dgali,,,,,,,
myoi_c,C6H12O6,myo-Inositol,c,0,inost,,,,,,,
tre6p_c,C12H21O14P,Trehalose6-phosphate,c,-2,tre6p,,,,,,,
adpglc_c,C16H23N5O15P2,ADP-glucose,c,-2,adpglc,,,,,,,
amylose_c,C24H50O24,Amylose(n),c,0,amylose,amylose,,,,,,
,,,,,,,,,,,,
star_c,C48H80O40,Starch(n),c,0,,,,,,,4 veces starch,
dex_c,C24H40O20,Dextrin(n),c,0,,,,,,,2 veces dextrin,
mlt_c,C12H22O11,Maltose,c,0,malt,,,,,,,
,,,,,,,,,,,,
levn_c,C24H42O21,Levan(n),c,0,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
murnac6p_c,C11H17NO11P,N-Acetylmuramicacid6-phosphate,c,-3,acmum6p,,,,,,,
naga6p_c,C8H14NO9P,N-Acetyl-D-glucosamine6-phosphate,c,-1,acgam6p,,,,,,,
ga6p_c,C6H13NO8P,D-Glucosamine6-phosphate,c,0,gam6p,,,,,,,
ga1p_c,C6H13NO8P,alpha-D-Glucosamine1-phosphate,c,0,gam1p,,,,,,,
naga1p_c,C8H14NO9P,N-Acetyl-alpha-D-glucosamine1-phosphate,c,-1,acgam1p,,,,,,,
udpnag_c,C17H25N3O17P2,UDP-N-acetyl-D-glucosamine,c,-2,uacgam,,,,,,,
uacmam_c,C17H25N3O17P2,UDP-N-acetyl-D-mannosamine,c,-2,uacmam,,,,,,,
uacmam_e,C17H25N3O17P2,UDP-N-acetyl-D-mannosamine_e,e,-2,uacmam,,,,,,,
uacmamu_c,C17H22N3O18P2,UDP-N-acetyl-D-mannosaminouronate,c,-3,uacmamu,,,,,,,
uacmamu_e,C17H22N3O18P2,UDP-N-acetyl-D-mannosaminouronate,e,-3,uacmamu,,,,,,,
uaccg_c,C20H26N3O19P2,UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine,c,-3,uaccg,,,,,,,
udpnam_c,C20H28N3O19P2,UDP-N-acetylmuramate,c,-3,uamr,,,,,,,
actp_c,C2H3O5P,Acetylphosphate,c,-2,actp,,,,,,,
mthgxl_c,C3H4O2,Methylglyoxal,c,0,mthgxl,,,,,,,
lgt_c,C13H20N3O8S,(R)-S-Lactoylglutathione,c,-1,lgt__S,,,,,,,
hyoxglu_c,C5H4O6,4-Hydroxy-2-oxoglutarate,c,-2,4h2oxg,,,,,,,
glya_c,C2H3O3,Glycolate,c,-1,glyclt,,,,,,,
mtart_c,C4H4O6,meso-Tartaricacid,c,-2,tartr__M,,,,,,,
oxgly_c,C4H2O6,Oxaloglycolate,c,-2,oxglyc,,,,,,,
aaccoa_c,C25H36N7O18P3S,Acetoacetyl-CoA,c,-3,aacoa,,,,,,,
rhybc_c,C25H38N7O18P3S,(R)-3-Hydroxybutanoyl-CoA,c,-4,3hbcoa__R,,,,,,,
hbut_c,C4H7O3,2-Hydroxybutyrate,c,-1,2hb,,,,,,,
ppap_c,C3H5O5P,Propanoylphosphate,c,-1,ppap,,,,,,,
prop_c,C3H5O2,Propanoate,c,-1,ppa,,,,,,,
c05993_c,C12H16N5O8P,Acetyladenylate,c,-2,aad,,,,,,,
c05983_c,C13H18N5O8P,Propionyladenylate ,c,-2,HC01668,,,,,,,
buac_c,C4H7O2,Butanoicacid,c,-1,but,,,,,,,
butp_c,C4H7O5P,Butanoylphosphate,c,-2,butpi,,,,,,,
3hbcoa_c,C25H38N7O18P3S,(S)-3-Hydroxybutanoyl-CoA,c,-3,3hbcoa,,,,,,,
polhybu_c,C12H18O6,Poly-beta-hydroxybutyrate,c,-3,phb,,,,,,,
actn_c,C4H8O2,(R)-Acetoin,c,0,actn__R,,,,,,,
bdoh_c,C4H10O2,"(R,R)-2,3-Butanediol",c,0,btd_RR,,,,,,,
myoip_c,C6H11O9P,myo-Inositolphosphate,c,-2,mi1p__D,,,,,,,
inosose_c,C6H10O6,"2,4,6/3,5-Pentahydroxycyclohexanone",c,0,2ins,,,,,,,
c19891_c,C6H12O6,1D-chiro-Inositol  ,c,0,inost,,,,,,,
c20251_c,C6H10O6,1-Keto-D-chiro-inositol ,c,0,2ins,,,,,,,
tchdione_c,C6H8O5,"3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione",c,0,dkdi,,,,,,,
c16737_c,C6H10O6,5-Deoxy-D-glucuronate ,c,-1,,cpd16540,5dglco,,,,No existe en bigg,
dekeglu_c,C6H9O6,2-Deoxy-5-keto-D-gluconicacid,c,-1,d5kg,,,,,,,
dekg6p_c,C6H8O9P,2-Deoxy-5-keto-D-gluconicacid6-phosphate,c,-3,d5kgp,,,,,,,
t6p_c,C6H11O9P,D-Tagatose6-phosphate,c,-2,tag6p__D,,,,,,,
tagbp_c,C6H10O12P2,"D-Tagatose1,6-bisphosphate",c,-4,tagdp__D,,,,,,,
udpnaga_c,C17H25N3O17P2,UDP-N-acetyl-D-galactosamine,c,-2,udpacgal,,,,,,,
hopp_c,C3H3O4,2-Hydroxy-3-oxopropanoate,c,-1,2h3oppan,,,,,,,
glal_c,C2H4O2,Glycolaldehyde,c,0,gcald,,,,,,,
gluac_c,C6H8O6,D-Glucuronolactone,c,0,glac,,,,,,,
glucarate_c,C6H8O8,D-glucarate,c,-2,glcr,,,,,,,
lactose_c,C12H22O11,Lactose,c,0,lcts,,,,,,,
actac_c,C4H5O3,Acetoacetate,c,-1,acac,,,,,,,
butl_c,C4H10O,1-Butanol,c,0,1btol,,,,,,,
lgalnt_c,C6H11O7,L-Galactonate,c,-1,galctn__L,,,,,,,
galac_c,C6H10O6,"L-Galactono-1,4-lactone",c,0,gal14lac,,,,,,,
dglcnt_c,C6H9O7,2-dehydro-D-gluconate,c,-1,2dhglcn,,,,,,,
cellob_c,C12H22O11,cellobiose,c,0,cellb,,,,,,,
gentb_c,C12H22O11,gentiobiose,c,0,gbiose,,,,,,,
ctetraose_c,C24H42O21,cellotetraose,c,0,,cpd01376,celtetr,,,,No existe en bigg,2x celobiosa
tur_c,C12H22O11,turanose,c,0,,cpd20885,turose,,,,No existe en bigg,Anañogo de fructosa
cellot_c,C18H32O16,cellotriose,c,0,,cpd03721,celtri,,,,No existe en bigg,
gl3p_c,C3H7O6P,sn-Glycerol3-phosphate,c,-1,glyc3p,,,,,,,
h_e,H,H+_e,e,1,h,,,,,,,
mqn8_c,C51H72O2,Menaquinone8,c,0,mqn8,,,,,,,
mql8_c,C51H74O2,Menaquinol8,c,0,mql8,,,,,,,
pppi_c,H1O10P3,Triphosphate,c,-4,pppi,,,,,,,
hno2_c,NO2,Nitrite,c,-1,no2,,,,,,,
hno3_c,NO3,Nitrate,c,-1,no3,,,,,,,
n2_c,N2,nitrogen,c,0,n2,,,,,,,
slf_c,O4S,Sulfate,c,-2,so4,,,,,,,
aps_c,C10H12N5O10PS,Adenylylsulfate,c,-2,aps,,,,,,,
paps_c,C10H11N5O13P2S,3-Phosphoadenylylsulfate,c,-4,paps,,,,,,,
pap_c,C10H11N5O10P2,"Adenosine3,5-bisphosphate",c,-4,pap,,,,,,,
udpnama_c,C23H33N4O20P2,UDP-N-acetylmuramoyl-L-alanine,c,-3,uama,,,,,,,
udpnamag_c,C28H39N5O23P2,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,c,-4,uamag,,,,,,,
ugmd_c,C35H51N7O26P2,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",c,-4,ugmd,,,,,,,
alaala_c,C6H12N2O3,D-Alanyl-D-alanine,c,0,alaala,,,,,,,
ugmda_c,C41H61N9O28P2,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine,c,-4,ugmda,,,,,,,
malcoa_c,C24H33N7O19P3S,Malonyl-CoA,c,-4,malcoa,,,,,,,
acp_c,C11H21N2O7PRS,Acyl-carrierprotein,c,-1,ACP,,,,,,,
acacp_c,C13H23O8N2PRS,Acetyl-_ACP,c,-1,acACP,,,,,,,
malacp_c,C14H22N2O10PRS,Malonyl-_ACP,c,-2,malACP,,,,,,,
pmtcoa_c,C37H62N7O17P3S,palmitoyl-CoA(n-C16:0CoA),c,-3,pmtcoa,,,,,,,
c16dcoa_c,C37H60N7O17P3S,trans-Hexadec-2-enoyl-CoA,c,-3,hdd2coa,,,,,,,
hhdcoa_c,C37H62N7O18P3S,(S)-3-Hydroxyhexadecanoyl-CoA,c,-3,3hhdcoa,,,,,,,
c16ocoa_c,C37H60N7O18P3S,3-Oxopalmitoyl-CoA,c,-3,o3xopalmcoa,,,,,,,
tdcoa_c,C35H62N7O17P3S,tetradecanoyl-CoA(C14:0CoA),c,0,tdcoa,,,,,,,
c14dcoa_c,C35H56N7O17P3S,trans-Tetradec-2-enoyl-CoA,c,-4,td2coa,,,,,,,
hytecoa_c,C35H58N7O18P3S,(S)-3-Hydroxytetradecanoyl-CoA,c,-4,3htdcoa,,,,,,,
c14ocoa_c,C35H56N7O18P3S,3-Oxotetradecanoyl-CoA,c,-4,3otdcoa,,,,,,,
c120coa_c,C33H54N7O17P3S,Lauroyl-CoA,c,-4,ddcacoa,,,,,,,
tradoco_c,C33H52N7O17P3S,2-trans-Dodecenoyl-CoA,c,-4,dd2coa,,,,,,,
hydocoa_c,C33H54N7O18P3S,(S)-3-Hydroxydodecanoyl-CoA,c,-4,d3odeccoa,,,,,,,
c12ocoa_c,C33H52N7O18P3S,3-Oxododecanoyl-CoA,c,-4,3oddcoa,,,,,,,
c100coa_c,C31H50N7O17P3S,Decanoyl-CoA,c,-4,dcacoa,,,,,,,
c10dcoa_c,C31H48N7O17P3S,trans-Dec-2-enoyl-CoA,c,-4,dc2coa,,,,,,,
hydec_c,C31H50N7O18P3S,(S)-Hydroxydecanoyl-CoA,c,-4,d3eccoa,,,,,,,
c10ocoa_c,C31H48N7O18P3S,3-Oxodecanoyl-CoA,c,-4,3odcoa,,,,,,,
c80coa_c,C29H46N7O17P3S,Octanoyl-CoA,c,-4,occoa,,,,,,,
c8dcoa_c,C29H44N7O17P3S,trans-Oct-2-enoyl-CoA,c,-4,oc2coa,,,,,,,
hytacoa_c,C29H46N7O18P3S,(S)-Hydroxyoctanoyl-CoA,c,-4,3hocoa,,,,,,,
c8ocoa_c,C29H44N7O18P3S,3-Oxooctanoyl-CoA,c,-4,3oocoa,,,,,,,
c60coa_c,C27H42N7O17P3S,Hexanoyl-CoA,c,-4,hxcoa,,,,,,,
c6dcoa_c,C27H40N7O17P3S,trans-Hex-2-enoyl-CoA,c,-3,hx2coa,,,,,,,
hyhecoa_c,C27H42N7O18P3S,(S)-Hydroxyhexanoyl-CoA,c,-3,3hhcoa,,,,,,,
ohexcoa_c,C27H40N7O18P3S,3-Oxohexanoyl-CoA,c,-3,3ohcoa,,,,,,,
cronylcoa_c,C25H36N7O17P3S,Crotonoyl-CoA,c,-3,b2coa,,,,,,,
h3mcoa_c,C27H39N7O20P3S,(S)-3-Hydroxy-3-methylglutaryl-CoA,c,-4,hmgcoa,,,,,,,
hdbut_c,C4H7O3,(R)-3-Hydroxybutanoate,c,-1,bhb,,,,,,,
glyn_c,C3H6O3,Glycerone,c,0,dha,,,,,,,
cpd15327_c,C19H38O7P,1-hexadecanoyl-sn-glycerol3-phosphate,c,-1,1hdecg3p,,,,,,,
cpd15331_c,C17H34O7P,1-tetradecanoyl-sn-glycerol3-phosphate,c,-1,1tdecg3p,,,,,,,
c00412_c,C39H70N7O17P3S,Stearoyl-CoA ,c,-3,ocdccoa,,,,,,,
cpd15329_c,C21H42O7P,1-octadecanoyl-sn-glycerol3-phosphate,c,-1,1odecg3p,,,,,,,
cpd11432_c,C38H65N7O17P3S,fa11coa|Iso-C17:0CoAIsoheptadecanoyl-CoA,c,-3,hpdcacoa,,,,,,,
cpd15671_c,C20H40O7P,1-isoheptadecanoyl-sn-glycerol3-phosphate,c,-1,,cpd15671 ,ihptglcp,No existe en bigg ,,,,
cpd11434_c,C38H65N7O17P3S,fa12coa|Anteiso-C17:0CoAAnteisoheptadecanoyl-CoA,c,-3,fa12coa,,,,,,,
cpd15672_c,C20H40O7P,1-anteisoheptadecanoyl-sn-glycerol3-phosphate,c,-1,,cpd15672,aihptglcp,No existe en bigg ,,,,
cpd11435_c,C35H59N7O17P3S,fa1coa|Iso-C14:0CoAIsotetradecanoyl-CoA,c,-3,fa1coa,,,,,,,
cpd15673_c,C17H34O7P,1-isotetradecanoyl-sn-glycerol3-phosphate,c,-1,1tdecg3p,,,,,,,
cpd11437_c,C36H61N7O17P3S,fa3coa|Iso-C15:0CoAIsopentadecanoyl-CoA,c,-3,fa3coa,,,,,,,
cpd15674_c,C18H36O7P,1-isopentadecanoyl-sn-glycerol3-phosphate,c,-1,,cpd15674,iptglcp,No existe en bigg ,,,,
cpd11439_c,C36H61N7O17P3S,fa4coa|Anteiso-C15:0CoAAnteisopentadecanoyl-CoA,c,-3,fa4coa,,,,,,,
cpd15675_c,C18H36O7P,1-anteisopentadecanoyl-sn-glycerol3-phosphate,c,-1,,cpd15675,aiptglcp,No existe en bigg ,,,,
cpd11441_c,C37H63N7O17P3S,fa6coa|Iso-C16:0CoAIsohexadecanoyl-CoA,c,-3,fa6coa,,,,,,,
cpd15676_c,C19H38O7P,1-isohexadecanoyl-sn-glycerol3-phosphate,c,-1,1hdecg3p,,,,,,,
cpd15524_c,C35H68O8P,"1,2-dihexadecanoyl-sn-glycerol3-phosphate",c,-1,pa160,,,,,,,
cpd15522_c,C31H60O8P,"1,2-ditetradecanoyl-sn-glycerol3-phosphate",c,-1,pa140,,,,,,,
cpd15526_c,C39H76O8P,"1,2-dioctadecanoyl-sn-glycerol3-phosphate",c,-1,pa180,,,,,,,
cpd15677_c,C37H72O8P,"1,2-diisoheptadecanoyl-sn-glycerol3-phosphate",c,-1,12diisgly,,,,,,,
cpd15678_c,C37H72O8P,"1,2-dianteisoheptadecanoyl-sn-glycerol3-phosphate",c,-1,,cpd15678,12daihptdecglcp,No existe en bigg ,,,,
cpd15679_c,C31H60O8P,"1,2-diisotetradecanoyl-sn-glycerol3-phosphate",c,-1,,cpd15679,12ditetdecglcp,No existe en bigg ,,,,
cpd15680_c,C33H64O8P,"1,2-diisopentadecanoyl-sn-glycerol3-phosphate",c,-1,,cpd15680,12dipentdecglcp,No existe en bigg ,,,,
cpd15681_c,C33H64O8P,"1,2-dianteisopentadecanoyl-sn-glycerol3-phosphate",c,-1,,cpd15681,12daipentdecglcp,No existe en bigg ,,,,
cpd15682_c,C35H68O8P,"1,2-diisohexadecanoyl-sn-glycerol3-phosphate",c,-1,,cpd15682,12dihexdecglcp,No existe en bigg ,,,,
ctp_c,C9H12N3O14P3,CTP,c,-3,ctp,,,,,,,
cpd15683_c,C46H83N3O15P2,"CDP-1,2-diisoheptadecanoylglycerol",c,-2,,cpd15683,cdp12dihptdecglc,No existe en bigg ,,,,
cpd15684_c,C46H83N3O15P2,"CDP-1,2-dianteisoheptadecanoylglycerol",c,-2,,cpd15684,cdp12daihptdecglc,No existe en bigg ,,,,
cpd15685_c,C40H71N3O15P2,"CDP-1,2-diisotetradecanoylglycerol",c,-2,,cpd15685,cdp12ditetdecglc,No existe en bigg ,,,,
cpd15686_c,C42H75N3O15P2,"CDP-1,2-diisopentadecanoylglycerol",c,-2,,cpd15686,cdp12dipentdecglc,No existe en bigg ,,,,
cpd15687_c,C42H75N3O15P2,"CDP-1,2-dianteisopentadecanoylglycerol",c,-2,,cpd15687,cdp12daipentdecglc,No existe en bigg ,,,,
cpd15688_c,C44H79N3O15P2,"CDP-1,2-diisohexadecanoylglycerol",c,-2,,cpd15688,cdp12dihexdecglc,No existe en bigg ,,,,
cmp_c,C9H12N3O8P,CMP,c,-1,cmp,,, ,,,,
cpd15689_c,C40H76NO10P,Diisoheptadecanoylphosphatidylserine,c,-2,,cpd15689,diheptdecps,No existe en bigg ,,,,
cpd15690_c,C40H76NO10P,Dianteisoheptadecanoylphosphatidylserine,c,-2,dianphaser,,,,,,,
cpd15691_c,C34H64NO10P,Diisotetradecanoylphosphatidylserine,c,-2,,cpd15691,ditetdecps,No existe en bigg ,,,,
cpd15692_c,C36H68NO10P,Diisopentadecanoylphosphatidylserine,c,-2,,cpd15692,dipentdecps,No existe en bigg ,,,,
cpd15693_c,C36H68NO10P,Dianteisopentadecanoylphosphatidylserine,c,-2,,cpd15693,daipentdecps,No existe en bigg ,,,,
cpd15694_c,C38H72NO10P,Diisohexadecanoylphosphatidylserine,c,-2,,cpd15694,dihexdecps,No existe en bigg ,,,,
cpd15695_c,C39H78NO8P,Diisoheptadecanoylphosphatidylethanolamine,c,0,,cpd15695,diheptpet,No existe en bigg ,,,,
cpd15696_c,C39H78NO8P,Dianteisoheptadecanoylphosphatidylethanolamine,c,0,dianethal,,,,,,,
cpd15697_c,C33H66NO8P,Diisotetradecanoylphosphatidylethanolamine,c,0,,cpd15697,ditetdecpe,No existe en bigg ,,,,
cpd15698_c,C35H70NO8P,Diisopentadecanoylphosphatidylethanolamine,c,0,,cpd15698,dipentdecpe,No existe en bigg ,,,,
cpd15699_c,C35H70NO8P,Dianteisopentadecanoylphosphatidylethanolamine,c,0,,cpd15699,daipentdecpe,No existe en bigg ,,,,
cpd15700_c,C37H74NO8P,Diisohexadecanoylphosphatidylethanolamine,c,0,,cpd15700,dihexdecpe,No existe en bigg ,,,,
cpd15701_c,C37H72O5,"1,2-Diisoheptadecanoyl-sn-glycerol",c,0,12diisgly,,,,,,,
cpd15702_c,C37H72O5,"1,2-Dianteisoheptadecanoyl-sn-glycerol",c,0,,cpd15702,12daiheptdecpe,No existe en bigg ,,,,
cpd15703_c,C31H60O5,"1,2-Diisotetradecanoyl-sn-glycerol",c,0,,cpd15703,12ditetdecglc,No existe en bigg ,,,,
cpd15704_c,C33H64O5,"1,2-Diisopentadecanoyl-sn-glycerol",c,0,12diisgly,,,,,,,
cpd15705_c,C33H64O5,"1,2-Dianteisopentadecanoyl-sn-glycerol",c,0,,cpd15705,12daipentdecglc,No existe en bigg ,,,,
cpd15706_c,C35H68O5,"1,2-Diisohexadecanoyl-sn-glycerol",c,0,,cpd15706,12dihexdecdlc,No existe en bigg ,,,,
cpd15728_c,C47H88O15,"Diglucosyl-1,2dipalmitoylglycerol",c,0,dgludpalmgl,,,,,,,
udp_c,C9H11N2O12P2,UDP,c,-2,udp,,,,,,,
cpd15707_c,C53H98O20,"Triglucosyl-1,2dipalmitoylglycerol",c,0,,cpd15707,trig12dpgl,No existe en bigg ,,,,
cpd15729_c,C43H80O15,"Diglucosyl-1,2dimyristoylglycerol",c,0,dgludmygl,,,,,,,
cpd15708_c,C49H90O20,"Triglucosyl-1,2dimyristoylglycerol",c,0,,cpd15708,trig12dmgl,No existe en bigg ,,,,
cpd15730_c,C51H96O15,"Diglucosyl-1,2distearoylglycerol",c,0,digludstgl,,,,,,,
cpd15709_c,C57H106O20,"Triglucosyl-1,2distearoylglycerol",c,0,,cpd15709,trig12degl,No existe en bigg ,,,,
cpd15731_c,C49H92O15,"Diglucosyl-1,2diisoheptadecanoylglycerol",c,0,dglu12dig,,,,,,,
cpd15710_c,C55H102O20,"Triglucosyl-1,2diisoheptadecanoylglycerol",c,0,,cpd15710,tg12diheptdecgl,No existe en bigg ,,,,
cpd15732_c,C49H92O15,"Diglucosyl-1,2dianteisoheptadecanoylglycerol",c,0,,cpd15732,dg12daiheptdecgl,No existe en bigg ,,,,
cpd15711_c,C55H102O20,"Triglucosyl-1,2dianteisoheptadecanoylglycerol",c,0,,cpd15711,tg12daiheptdecgl,No existe en bigg ,,,,
cpd15733_c,C43H80O15,"Diglucosyl-1,2diisotetradecanoylglycerol",c,0,,cpd15733,dg12ditetdecgl,No existe en bigg ,,,,
cpd15712_c,C49H90O20,"Triglucosyl-1,2diisotetradecanoylglycerol",c,0,,cpd15712,tg12ditetdecgl,No existe en bigg ,,,,
cpd15734_c,C45H84O15,"Diglucosyl-1,2diisopentadecanoylglycerol",c,0,,cpd15734,dg12dipentdecgl,No existe en bigg ,,,,
cpd15713_c,C51H94O20,"Triglucosyl-1,2diisopentadecanoylglycerol",c,0,,cpd15713,tg12dipentdecgl,No existe en bigg ,,,,
cpd15735_c,C45H84O15,"Diglucosyl-1,2dianteisopentadecanoylglycerol",c,0,,cpd15735,dg12daipentdecgl,No existe en bigg ,,,,
cpd15714_c,C51H94O20,"Triglucosyl-1,2dianteisopentadecanoylglycerol",c,0,,cpd15714,tg12daipentdecgl,No existe en bigg ,,,,
cpd15736_c,C47H88O15,"Diglucosyl-1,2diisohexadecanoylglycerol",c,0,,cpd15736,dg12dihexdecgl,No existe en bigg ,,,,
cpd15715_c,C53H98O20,"Triglucosyl-1,2diisohexadecanoylglycerol",c,0,,cpd15715,tg12dihexdecgl,No existe en bigg ,,,,
cpd15716_c,C40H78O13P2,Diisoheptadecanoylphosphatidylglycerophosphate,c,-2,,cpd15716,dihepdecgp,No existe en bigg ,,,,
cpd15717_c,C40H78O13P2,Dianteisoheptadecanoylphosphatidylglycerophosphate,c,-2,,cpd15717,daiheptdecpgp,No existe en bigg ,,,,
cpd15718_c,C34H66O13P2,Diisotetradecanoylphosphatidylglycerophosphate,c,-2,,cpd15718,ditetdecpgp,No existe en bigg ,,,,
cpd15719_c,C36H70O13P2,Diisopentadecanoylphosphatidylglycerophosphate,c,-2,,cpd15719,dipentdecpgp,No existe en bigg ,,,,
cpd15720_c,C36H70O13P2,Dianteisopentadecanoylphosphatidylglycerophosphate,c,-2,,cpd15720,daipentdecpgp,No existe en bigg ,,,,
cpd15721_c,C38H74O13P2,Diisohexadecanoylphosphatidylglycerophosphate,c,-2,,cpd15721,dihexdecpg,No existe en bigg ,,,,
cpd15722_c,C40H78O10P,Diisoheptadecanoylphosphatidylglycerol,c,-1,,cpd15722,diheptdecpg,No existe en bigg ,,,,
cpd15723_c,C40H78O10P,Dianteisoheptadecanoylphosphatidylglycerol,c,-1,,cpd15723,,No existe en bigg ,,,,
cpd15724_c,C34H66O10P,Diisotetradecanoylphosphatidylglycerol,c,-1,diitpgly,,,,,,,
cpd15725_c,C36H70O10P,Diisopentadecanoylphosphatidylglycerol,c,-1,diipdpgly,,,,,,,
cpd15726_c,C36H70O10P,Dianteisopentadecanoylphosphatidylglycerol,c,-1,,cpd15726,daipentdecpgp,No existe en bigg ,,,,
cpd15727_c,C38H74O10P,Diisohexadecanoylphosphatidylglycerol,c,-1,diihexpglyc,,,,,,,
cpd15309_c,C35H68O5,"1,2-Diacyl-sn-glyceroldihexadecanoyl|1,2-Diacyl-sn-glycerol(dihexadecanoyl,n-C16:0)",c,0,12dgr160,,,,,,,
cpd15737_c,C41H78O10,"Monoglucosyl-1,2dipalmitoylglycerol",c,0,mglucsyldpalmgl,,,,,,,
cpd15307_c,C31H60O5,"1,2-Diacyl-sn-glycerolditetradecanoyl",c,0,12dgr140,,,,,,,
cpd15738_c,C37H70O10,"Monoglucosyl-1,2dimyristoylglycerol",c,0,mglucsyldmygl,,,,,,,
cpd15311_c,C39H76O5,"1,2-Diacyl-sn-glyceroldioctadecanoyl",c,0,12dgr180,,,,,,,
cpd15739_c,C45H86O10,"Monoglucosyl-1,2distearoylglycerol",c,0,mglucsyldstgl,,,,,,,
